IRAS 20087-0308 ,   ,20 ,11, 23.87, -02, 59, 50.7, 12.2,  480,  7,  3, 1342231049, 1342230838  
IRAS 20100-4156 ,   ,20 ,13, 29.54, -41, 47, 34.9, 12.4,  595,  6,  4, 1342245106, 1342230817  
MCG+04-48-002a  ,   ,20 ,28, 35.02, +25, 44, 00.6, 10.9,   65,  4,  6, 1342221682, 1342233320  
NGC6926         ,   ,20 ,33, 06.08, -02, 01, 38.7, 11.0,   87,  4,  7, 1342231050, 1342218992  
NGC6946         ,   ,20 ,34, 52.30, +60, 09, 14.0,  9.8,    5, 11,  1, 1342243603, 1342188786  
NGC6946_05      ,   ,20 ,35, 12.01, +60, 08, 55.2,  9.8,    5,  4,  8, 1342224769, 1342188786  
IRAS 20414-1651 ,   ,20 ,44, 18.21, -16, 40, 16.2, 12.0,  392,  3,  8, 1342243623, 1342231345  
3C 424          ,   ,20 ,48, 12.03, +07, 01, 17.5,     ,  586,  0,  9, 1342255797, 1342244149  
IC 5063         , a ,20 ,52, 02.10, -57, 04, 06.6, 10.2,   46,  3,  8, 1342242619, 1342206208  
CGCG448-020     , a ,20 ,57, 24.33, +17, 07, 38.3, 11.7,  161, 10,  2, 1342221679, 1342233327  
ESO286-IG019    ,   ,20 ,58, 26.79, -42, 39, 00.6, 11.8,  185, 11,  1, 1342245107, 1342230815  
ESO286-G035     ,   ,21 ,04, 11.13, -43, 35, 34.1, 10.8,   73,  7,  5, 1342216901, 1342230813  
3C 433          ,   ,21 ,23, 44.60, +25, 04, 27.1,     ,  465,  0,  9, 1342245864, 1342234675  
NGC7130         ,   ,21 ,48, 19.50, -34, 57, 04.7, 11.1,   69, 12,  1, 1342219565, 1342210527  
NGC7172         ,   ,22 ,02, 01.91, -31, 52, 11.3, 10.2,   36,  4,  7, 1342219549, 1342209301  
ESO467-G027     ,   ,22 ,14, 39.85, -27, 27, 50.5, 10.8,   74,  2,  8, 1342245108, 1342245428  
IC5179          ,   ,22 ,16, 09.13, -36, 50, 36.6, 10.9,   48,  6,  4, 1342245109, 1342244158  
NGC7331         ,   ,22 ,37, 04.10, +34, 24, 56.0, 10.3,   15,  6,  4, 1342245871, 1342189532  
UGC12150        ,   ,22 ,41, 12.19, +34, 14, 56.2, 11.1,   96,  6,  5, 1342221699, 1342220870  
IRAS 22491-1808 ,   ,22 ,51, 49.26, -17, 52, 23.5, 11.9,  345,  9,  2, 1342245082, 1342234671  
NGC7465         ,   ,23 ,02, 00.96, +15, 57, 53.4,  9.7,   30,  3,  8, 1342245869, 1342234763  
NGC7469         ,   ,23 ,03, 15.62, +08, 52, 26.4, 11.3,   72, 13,  0, 1342199252, 1342196915  
ESO148-IG002    ,   ,23 ,15, 46.72, -59, 03, 15.1, 11.8,  193, 11,  1, 1342245110, 1342209299  
IC5298          ,   ,23 ,16, 00.64, +25, 33, 23.7, 11.3,  122,  7,  5, 1342221700, 1342234766  
NGC7552         ,   ,23 ,16, 10.77, -42, 35, 05.4, 10.7,   21, 12,  1, 1342198428, 1342210528  
NGC7591         ,   ,23 ,18, 16.26, +06, 35, 08.8, 10.8,   72,  6,  7, 1342257346, 1342234758  
NGC7592         , a ,23 ,18, 22.08, -04, 24, 57.6, 11.1,  106,  7,  4, 1342221702, 1342234750  
NGC7582         ,   ,23 ,18, 23.50, -42, 22, 14.0, 10.5,   21, 11,  2, 1342209280, 1342210529  
IRAS 23230-6926 ,   ,23 ,26, 03.62, -69, 10, 18.8, 12.1,  482,  6,  4, 1342246276, 1342230806  
NGC7674         ,   ,23 ,27, 56.68, +08, 46, 43.6, 11.2,  130,  5,  7, 1342245858, 1342234929  
IRAS 23253-5415 ,   ,23 ,28, 06.10, -53, 58, 31.0, 12.1,  595,  4,  6, 1342246277, 1342234737  
NGC7679a        , a ,23 ,28, 46.61, +03, 30, 41.8, 10.8,   75,  6,  7, 1342221701, 1342234755  
IRAS 23365+3604 ,   ,23 ,39, 01.27, +36, 21, 08.7, 12.0,  290,  7,  5, 1342224768, 1342234919  
NGC7771         ,   ,23 ,51, 24.88, +20, 06, 42.6, 11.1,   63, 10,  3, 1342212317, 1342199379  
Mrk331          ,   ,23 ,51, 26.80, +20, 35, 09.9, 11.2,   81, 12,  0, 1342212316, 1342234682 
